"Dusty Rooms
",Null,2+,,,,,,,"Normal
"
"Dusty Rooms
",Null,2+,,,,,,,"Normal
"
Creaking Hallway,Null,2+,,,,,,,"Normal
"
Creaking Hallway,Null,2+,,,,,,,"Normal
"
Silent Stairway,Null,2+,,,,,,,"Normal
"
Silent Stairway,Null,2+,,,,,,,"Normal
"
Dripping Chasm,Null,2+,,,,,,,"Normal
"
Dripping Chasm,Null,2+,,,,,,,"Normal
"
Echoing Shaft,Null,2+,,,,,,,"Normal
"
Echoing Shaft,Null,2+,,,,,,,"Normal
"
Abandoned Workshops,Null,2+,,,,,,,Normal
Abandoned Workshops,Null,2+,,,,,,,Normal
Empty Storerooms,Null,2+,,,,,,,Normal
Empty Storerooms,Null,2+,,,,,,,Normal
Collapsed Tunnel,Null,3+,,,,,,,Normal
Tumbled Stairs,Null,3+,,,,,,,Normal
Welded Doorway,Null,4+,,,,,,,Normal
Hastily Filled Pit,Null,"4+
",,,,,,,Normal
Sealed Airshaft,"Null
",4+,,,,,,,Normal
Nailed Hatchway,"Null
",4+,,,,,,,Normal
Looted Tavern,Null,2+,,,,,,,Normal
Empty Crypt,Null,2+,,,,,,,Normal
Silver Bars,"Basic Treasure
",2+,5G/15G/30G,,5,15,30,,Normal
"Minted Coins
","Basic Treasure
",2+,5G/15G/30G,,5,15,30,,Normal
Agates,"Basic Treasure
",2+,5G/15G/30G,,5,15,30,,Normal
Opals,"Basic Treasure
","2+
",5G/15G/30G,,5,15,30,,"Normal
"
Porcelain,"Basic Treasure
",2+,5G/15G/30G,,5,15,30,,Normal
Dwarven Whiskey,"Basic Treasure
",2+,5G/15G/30G,,5,15,30,,Normal
Fine Wine,"Basic Treasure
",2+,5G/15G/30G,,5,15,30,,Normal
Mechanical Curios,Basic Treasure,2+,5G/15G/30G,,5,15,30,,Normal
Runic Tomes,Basic Treasure,2+,5G/15G/30G,,5,15,30,,Normal
Halfling Herbs,Basic Treasure,2+,5G/15G/30G,,5,15,30,,Normal
Elven Etchings,Basic Treasure,2+,5G/15G/30G,,5,15,30,,Normal
Lesser Mana Crystals,Basic Treasure,2+,5G/15G/30G,,5,15,30,,Normal
"Glassware
",Basic Treasure,2+,5G/15G/30G,,5,15,30,,Normal
Amber,Basic Treasure,2+,5G/15G/30G,,5,15,30,,Normal
Minor Relics,Basic Treasure,3+,5G/15G/30G,,5,15,30,,Normal
Curious Statuary,Basic Treasure,3+,5G/15G/30G,,5,15,30,,Normal
Trade Beads,Basic Treasure,4+,5G/15G/30G,,5,15,30,,Normal
Crude Reagents,Basic Treasure,4+,5G/15G/30G,,5,15,30,,Normal
Gold,Splendid Treasure,2+,10G/20G/40G,,,,,,Normal
Major Relics,Splendid Treasure,2+,10G/20G/40G,,,,,,Normal
Refined Reagents,Splendid Treasure,2+,10G/20G/40G,,,,,,Normal
Rubies,Splendid Treasure,2+,10G/20G/40G,,,,,,Normal
Sapphires,Splendid Treasure,2+,10G/20G/40G,,,,,,Normal
Emeralds,Splendid Treasure,2+,10G/20G/40G,,,,,,Normal
Pearls,Splendid Treasure,2+,10G/20G/40G,,,,,,Normal
Ancient Lore,Splendid Treasure,2+,10G/20G/40G,,,,,,Normal
Oil Paintings,Splendid Treasure,2+,10G/20G/40G,,,,,,Normal
Greater Mana Crystals,Splendid Treasure,2+,10G/20G/40G,,,,,,Normal
Aged Spirits,Splendid Treasure,3+,10G/20G/40G,,,,,,Normal
"Yellow Diamonds
",Splendid Treasure,"4+
",10G/20G/40G,,,,,,Normal
Mithril,Astonishing Treasure,2+,15G/25G/50G,,,,,,Normal
Platinum,Astonishing Treasure,2+,15G/25G/50G,,,,,,Normal
Blue Diamonds,Astonishing Treasure,2+,15G/25G/50G,,,,,,Normal
